,name,wavelength,line,type,diagnostic,transition,A_ul,E_u,Unnamed: 5,E_l (cm-1),Reference,elambda,ep,ip
53,HI 7-3,1.0052128,yes,hydrogen,,,,,,,,,,
54,HI 6-3,1.094109,yes,hydrogen,,,,,,,,,,
55,HI 5-3,1.2821587,yes,hydrogen,,,,,,,,,,
56,HI 25-4,1.4971425,yes,hydrogen,,,,,,,,,,
57,HI 24-4,1.5004961,yes,hydrogen,,,,,,,,,,
58,HI 23-4,1.5043147,yes,hydrogen,,,,,,,,,,
59,HI 22-4,1.5086896,yes,hydrogen,,,,,,,,,,
60,HI 21-4,1.5137357,yes,hydrogen,,,,,,,,,,
61,HI 20-4,1.5195996,yes,hydrogen,,,,,,,,,,
62,HI 19-4,1.5264708,yes,hydrogen,,,,,,,,,,
63,HI 18-4,1.5345982,yes,hydrogen,,,,,,,,,,
64,HI 17-4,1.5443139,yes,hydrogen,,,,,,,,,,
65,HI 16-4,1.5560699,yes,hydrogen,,,,,,,,,,
66,HI 15-4,1.5704952,yes,hydrogen,,,,,,,,,,
67,HI 14-4,1.588488,yes,hydrogen,,,,,,,,,,
68,HI 13-4,1.6113714,yes,hydrogen,,,,,,,,,,
69,HI 12-4,1.6411674,yes,hydrogen,,,,,,,,,,
70,HI 11-4,1.6811111,yes,hydrogen,,,,,,,,,,
71,HI 10-4,1.736685,yes,hydrogen,,,,,,,,,,
72,HI 9-4,1.8179084,yes,hydrogen,,,,,,,,,,
73,HI 4-3,1.8756133,yes,hydrogen,,,,,,,,,,
74,HI 8-4,1.9450871,yes,hydrogen,,,,,,,,,,
310,[SiVI],1.96341,yes,fine_structure,,2P1/2-2P3/2,,,,,,0.0001,166.77,205.05
75,HI 7-4,2.1661196,yes,hydrogen,,,,,,,,,,
76,HI 25-5,2.374377,yes,hydrogen,,,,,,,,,,
77,HI 24-5,2.382823,yes,hydrogen,,,,,,,,,,
78,HI 23-5,2.3924675,yes,hydrogen,,,,,,,,,,
79,HI 22-5,2.4035523,yes,hydrogen,,,,,,,,,,
80,HI 21-5,2.4163852,yes,hydrogen,,,,,,,,,,
81,HI 20-5,2.431362,yes,hydrogen,,,,,,,,,,
82,HI 19-5,2.4490002,yes,hydrogen,,,,,,,,,,
83,HI 18-5,2.4699873,yes,hydrogen,,,,,,,,,,
311,[SiVII],2.48334,yes,fine_structure,,3P1-3P2,,,,,,0.0001,205.05,246.52
84,HI 17-5,2.4952543,yes,hydrogen,,,,,,,,,,
85,HI 16-5,2.5260903,yes,hydrogen,,,,,,,,,,
86,HI 15-5,2.564327,yes,hydrogen,,,,,,,,,,
312,[SiIX],2.58423,yes,fine_structure,,3P2-3P1,,,,,,0.00023,303.17,351.1
87,HI 14-5,2.6126477,yes,hydrogen,,,,,,,,,,
88,HI 6-4,2.6258672,yes,hydrogen,,,,,,,,,,
89,HI 13-5,2.6751312,yes,hydrogen,,,,,,,,,,
90,HI 12-5,2.7582677,yes,hydrogen,,,,,,,,,,
91,HI 11-5,2.8729959,yes,hydrogen,,,,,,,,,,
313,[AlV],2.90519,yes,fine_structure,,2P1/2-2P3/2,,,,,,0.00037,120,153.83
28,H2O,2.9273,,molecular,,15_115 to 16_116,49,8744,,,,,,
29,H2O,2.9278,,molecular,,12_39 to 13_310,52,8388,,,,,,
30,H2O,2.9291,,molecular,,13_311 to 14_312,48,8583,,,,,,
31,H2O,2.9292,,molecular,,14_113 to 15_114,49,8698,,,,,,
45,OH,2.9343,,molecular,,3/2 P4.5e,11.7,5400,,,,,,
46,OH,2.9346,,molecular,,3/2 P4.5f,11.7,5400,,,,,,
314,[CoII],2.9846,yes,fine_structure,,a5F5-a3F4,,,,,,0.0001,7.86,17.08
315,[MgVIII],3.02795,yes,fine_structure,,2P3/2-2P1/2,,,,,,0.00025,224.95,265.96
92,HI 10-5,3.0392023,yes,hydrogen,,,,,,,,,,
316,[NiI],3.12,yes,fine_structure,,a1D2-a3D3,,,,,,0.0001,0,7.64
317,[KVII],3.19053,yes,fine_structure,,2P3/2-2P1/2,,,,,,0.00015,99.4,117.56
318,[CaIV],3.20671,yes,fine_structure,,2P1/2-2P3/2,,,,,,0.00015,50.91,67.27
93,HI 9-5,3.2969917,yes,hydrogen,,,,,,,,,,
94,HI 25-6,3.4829594,yes,hydrogen,,,,,,,,,,
95,HI 24-6,3.5011637,yes,hydrogen,,,,,,,,,,
96,HI 23-6,3.5220251,yes,hydrogen,,,,,,,,,,
97,HI 22-6,3.5461005,yes,hydrogen,,,,,,,,,,
98,HI 21-6,3.5741046,yes,hydrogen,,,,,,,,,,
99,HI 20-6,3.606968,yes,hydrogen,,,,,,,,,,
100,HI 19-6,3.6459233,yes,hydrogen,,,,,,,,,,
319,[AlVI],3.65971,yes,fine_structure,,3P1-3P2,,,,,,0.00062,153.83,190.48
320,[AlVIII],3.69,yes,fine_structure,,3P2-3P1,,,,,,0.014,241.44,284.6
101,HI 18-6,3.6926335,yes,hydrogen,,,,,,,,,,
102,HI 8-5,3.7405565,yes,hydrogen,,,,,,,,,,
103,HI 17-6,3.7493933,yes,hydrogen,,,,,,,,,,
104,HI 16-6,3.8194512,yes,hydrogen,,,,,,,,,,
105,HI 15-6,3.9075486,yes,hydrogen,,,,,,,,,,
321,[SiIX],3.9357,yes,fine_structure,,3P1-3P0,,,,,,0.0004,303.17,351.1
322,[NiI],3.9524,yes,fine_structure,,a1D2-a3D2,,,,,,0.0001,0,7.64
106,HI 14-6,4.0208675,yes,hydrogen,,,,,,,,,,
107,HI 5-4,4.0522623,yes,hydrogen,,,,,,,,,,
323,[FeII],4.076319,yes,fine_structure,,a4F5/2-a6D7/2,,,,,,0.000004,7.9,16.19
324,[FeII],4.081906,yes,fine_structure,,a4F3/2-a6D5/2,,,,,,0.000004,7.9,16.19
325,[CaVII],4.0858,yes,fine_structure,,3P2-3P1,,,,,,0.0012,108.78,127.2
326,[FeII],4.11499,yes,fine_structure,,a4F7/2-a6D9/2,,,,,,0.000005,7.9,16.19
