 ix          r[AU] il       lam[mic]       tau_vert
  1  5.0000000E-02  1  9.5842289E-02  1.9738379E-01  dust
  1  5.0000000E-02  2  1.0573550E-01  1.9376408E-01  dust
  1  5.0000000E-02  3  1.1812006E-01  1.8941367E-01  dust
  1  5.0000000E-02  4  1.3353968E-01  1.8464186E-01  dust
  1  5.0000000E-02  5  1.5097181E-01  1.7937602E-01  dust
  1  5.0000000E-02  6  1.7067955E-01  1.7159655E-01  dust
  1  5.0000000E-02  7  1.9296000E-01  1.6281664E-01  dust
  1  5.0000000E-02  8  3.0195156E-01  1.4368141E-01  dust
  1  5.0000000E-02  9  5.8874250E-01  1.1525059E-01  dust
  1  5.0000000E-02 10  1.2118621E+00  8.4400189E-02  dust
  1  5.0000000E-02 11  2.3303096E+00  5.9451652E-02  dust
  1  5.0000000E-02 12  4.3003104E+00  4.5985466E-02  dust
  1  5.0000000E-02 13  6.2450423E+00  3.6642990E-02  dust
  1  5.0000000E-02 14  8.8527200E+00  3.9628248E-02  dust
  1  5.0000000E-02 15  1.2668311E+01  3.4955870E-02  dust
  1  5.0000000E-02 16  1.8134220E+01  3.4237522E-02  dust
  1  5.0000000E-02 17  2.5964377E+01  3.1583508E-02  dust
  1  5.0000000E-02 18  4.2233750E+01  2.3061384E-02  dust
  1  5.0000000E-02 19  8.6443439E+01  1.5511696E-02  dust
  1  5.0000000E-02 20  1.7710287E+02  1.0494461E-02  dust
  1  5.0000000E-02 21  3.6308087E+02  7.0584886E-03  dust
  1  5.0000000E-02 22  7.4469677E+02  4.6818348E-03  dust
  1  5.0000000E-02 23  1.5279094E+03  3.0204857E-03  dust
  1  5.0000000E-02 24  3.1355912E+03  1.8501299E-03  dust
  1  5.0000000E-02 25  6.4360319E+03  9.8769269E-04  dust
  2  5.0333715E-02  1  9.5842289E-02  3.5177278E-01  dust
  2  5.0333715E-02  2  1.0573550E-01  3.4531358E-01  dust
  2  5.0333715E-02  3  1.1812006E-01  3.3755104E-01  dust
  2  5.0333715E-02  4  1.3353968E-01  3.2903687E-01  dust
  2  5.0333715E-02  5  1.5097181E-01  3.1964152E-01  dust
  2  5.0333715E-02  6  1.7067955E-01  3.0576355E-01  dust
  2  5.0333715E-02  7  1.9296000E-01  2.9010443E-01  dust
  2  5.0333715E-02  8  3.0195156E-01  2.5598163E-01  dust
  2  5.0333715E-02  9  5.8874250E-01  2.0528200E-01  dust
  2  5.0333715E-02 10  1.2118621E+00  1.5029090E-01  dust
  2  5.0333715E-02 11  2.3303096E+00  1.0584071E-01  dust
  2  5.0333715E-02 12  4.3003104E+00  8.1855972E-02  dust
  2  5.0333715E-02 13  6.2450423E+00  6.5220177E-02  dust
  2  5.0333715E-02 14  8.8527200E+00  7.0545203E-02  dust
  2  5.0333715E-02 15  1.2668311E+01  6.2218686E-02  dust
  2  5.0333715E-02 16  1.8134220E+01  6.0943244E-02  dust
  2  5.0333715E-02 17  2.5964377E+01  5.6214373E-02  dust
  2  5.0333715E-02 18  4.2233750E+01  4.1039863E-02  dust
  2  5.0333715E-02 19  8.6443439E+01  2.7600470E-02  dust
  2  5.0333715E-02 20  1.7710287E+02  1.8671444E-02  dust
  2  5.0333715E-02 21  3.6308087E+02  1.2558236E-02  dust
  2  5.0333715E-02 22  7.4469677E+02  8.3303008E-03  dust
  2  5.0333715E-02 23  1.5279094E+03  5.3743554E-03  dust
